m;x;y;z
4.00;529.00;426.00;-22.00
2.00;482.00;502.00;-126.00
5.00;377.00;203.00;-222.00
2.00;502.00;332.00;23.00
2.00;579.00;265.00;-114.00
1.00;487.00;299.00;-167.00
3.00;316.00;225.00;192.00
3.00;503.00;370.00;249.00
2.00;529.00;347.00;29.00
3.00;397.00;241.00;106.00
2.00;502.00;321.00;234.00
3.00;201.00;349.00;-26.00
2.00;248.00;319.00;-157.00
2.00;456.00;359.00;247.00
1.00;521.00;223.00;235.00
2.00;456.00;328.00;14.00
2.00;310.00;517.00;109.00
5.00;321.00;373.00;154.00
3.00;360.00;333.00;-148.00
5.00;517.00;395.00;-241.00
3.00;339.00;329.00;87.00
4.00;412.00;447.00;23.00
4.00;560.00;332.00;157.00
1.00;488.00;278.00;-162.00
1.00;355.00;411.00;-132.00
3.00;220.00;215.00;35.00
1.00;547.00;523.00;211.00
1.00;548.00;423.00;-45.00
3.00;273.00;297.00;56.00
3.00;607.00;475.00;260.00
1.00;355.00;243.00;268.00
5.00;473.00;316.00;-84.00
2.00;375.00;336.00;-230.00
1.00;536.00;356.00;-191.00
4.00;584.00;359.00;260.00
3.00;576.00;271.00;-5.00
5.00;260.00;456.00;105.00
3.00;539.00;463.00;204.00
5.00;489.00;268.00;59.00
1.00;247.00;270.00;209.00
2.00;428.00;291.00;-8.00
3.00;495.00;296.00;239.00
2.00;376.00;347.00;-55.00
4.00;405.00;274.00;127.00
3.00;267.00;468.00;142.00
5.00;291.00;493.00;-147.00
2.00;284.00;281.00;-234.00
3.00;390.00;341.00;128.00
4.00;287.00;319.00;-22.00
5.00;477.00;289.00;183.00
3.00;413.00;298.00;-116.00
2.00;529.00;345.00;108.00
2.00;439.00;417.00;-98.00
2.00;294.00;511.00;251.00
3.00;296.00;508.00;-108.00
1.00;505.00;285.00;-15.00
4.00;458.00;427.00;-180.00
4.00;435.00;508.00;8.00
3.00;580.00;549.00;-166.00
3.00;312.00;344.00;6.00
5.00;624.00;303.00;195.00
5.00;491.00;475.00;35.00
5.00;398.00;376.00;16.00
3.00;453.00;346.00;-175.00
1.00;436.00;538.00;110.00
5.00;353.00;321.00;33.00
1.00;539.00;562.00;-126.00
3.00;427.00;527.00;-20.00
4.00;500.00;272.00;204.00
1.00;375.00;277.00;-142.00
5.00;586.00;502.00;-49.00
5.00;522.00;489.00;-172.00
1.00;416.00;396.00;-149.00
2.00;366.00;318.00;-95.00
1.00;586.00;328.00;-162.00
2.00;464.00;336.00;-202.00
5.00;436.00;534.00;259.00
5.00;403.00;424.00;-205.00
4.00;611.00;512.00;-238.00
1.00;455.00;469.00;-204.00
2.00;620.00;495.00;266.00
5.00;658.00;543.00;183.00
3.00;538.00;430.00;-83.00
4.00;655.00;563.00;143.00
5.00;631.00;422.00;-61.00
3.00;277.00;389.00;103.00
3.00;371.00;504.00;-69.00
2.00;614.00;429.00;223.00
3.00;313.00;388.00;86.00
1.00;434.00;318.00;-1.00
5.00;605.00;448.00;209.00
4.00;453.00;328.00;-170.00
1.00;635.00;461.00;246.00
1.00;610.00;419.00;-157.00
3.00;374.00;576.00;-203.00
1.00;620.00;399.00;-69.00
2.00;669.00;386.00;68.00
3.00;359.00;592.00;-59.00
4.00;418.00;493.00;80.00
4.00;376.00;485.00;28.00
1.00;529.00;581.00;29.00
5.00;567.00;454.00;239.00
3.00;627.00;314.00;235.00
2.00;536.00;529.00;-22.00
4.00;637.00;564.00;249.00
1.00;377.00;385.00;152.00
5.00;348.00;298.00;192.00
4.00;585.00;328.00;264.00
1.00;534.00;318.00;34.00
1.00;611.00;395.00;-110.00
5.00;392.00;446.00;8.00
5.00;482.00;462.00;118.00
5.00;494.00;313.00;-22.00
5.00;572.00;475.00;59.00
4.00;539.00;559.00;71.00
2.00;490.00;607.00;251.00
1.00;353.00;324.00;64.00
3.00;472.00;383.00;154.00
1.00;483.00;467.00;248.00
4.00;562.00;529.00;232.00
1.00;421.00;535.00;-75.00
2.00;633.00;475.00;257.00
2.00;433.00;487.00;-122.00
5.00;689.00;430.00;91.00
4.00;357.00;323.00;-16.00
2.00;348.00;364.00;-121.00
5.00;577.00;437.00;-98.00
3.00;665.00;520.00;195.00
1.00;377.00;557.00;-55.00
4.00;603.00;374.00;19.00
2.00;633.00;439.00;-195.00
5.00;485.00;544.00;138.00
5.00;619.00;501.00;-223.00
1.00;584.00;519.00;132.00
2.00;386.00;417.00;82.00
4.00;631.00;405.00;24.00
4.00;701.00;470.00;-70.00
1.00;683.00;359.00;0.00
1.00;476.00;469.00;0.00
2.00;435.00;444.00;-103.00
2.00;541.00;398.00;-114.00
2.00;452.00;636.00;22.00
2.00;449.00;464.00;177.00
2.00;571.00;435.00;193.00
2.00;470.00;400.00;152.00
1.00;577.00;516.00;261.00
5.00;528.00;595.00;200.00
4.00;462.00;472.00;-199.00
1.00;549.00;496.00;113.00
3.00;475.00;633.00;175.00
2.00;600.00;480.00;37.00
3.00;403.00;441.00;47.00
2.00;415.00;375.00;-240.00
3.00;608.00;451.00;-210.00
5.00;409.00;436.00;134.00
2.00;636.00;559.00;-37.00
5.00;711.00;382.00;248.00
5.00;505.00;443.00;-198.00
5.00;727.00;649.00;-129.00
4.00;652.00;492.00;-243.00
4.00;521.00;377.00;257.00
3.00;564.00;632.00;-242.00
1.00;688.00;590.00;-10.00
1.00;389.00;649.00;249.00
5.00;675.00;592.00;-240.00
5.00;433.00;357.00;-118.00
1.00;394.00;582.00;-9.00
3.00;494.00;522.00;37.00
4.00;611.00;356.00;-130.00
3.00;574.00;403.00;265.00
2.00;462.00;666.00;250.00
3.00;486.00;490.00;-62.00
2.00;618.00;411.00;-229.00
1.00;398.00;557.00;-8.00
2.00;499.00;488.00;116.00
1.00;507.00;393.00;45.00
4.00;737.00;582.00;-29.00
2.00;599.00;393.00;264.00
2.00;608.00;676.00;-43.00
5.00;706.00;492.00;-198.00
4.00;730.00;503.00;-88.00
1.00;467.00;629.00;-220.00
3.00;447.00;404.00;-104.00
3.00;546.00;462.00;237.00
3.00;374.00;404.00;-63.00
2.00;616.00;638.00;-229.00
1.00;425.00;591.00;175.00
3.00;696.00;607.00;-45.00
2.00;439.00;663.00;-174.00
2.00;730.00;621.00;136.00
3.00;687.00;487.00;129.00
4.00;632.00;554.00;121.00
2.00;620.00;671.00;184.00
3.00;730.00;626.00;159.00
1.00;444.00;558.00;263.00
3.00;617.00;514.00;257.00
2.00;482.00;425.00;-85.00
4.00;452.00;390.00;49.00
3.00;488.00;572.00;175.00
2.00;651.00;564.00;-55.00
2.00;638.00;657.00;59.00
3.00;548.00;638.00;190.00
3.00;477.00;603.00;-129.00
2.00;609.00;489.00;155.00
5.00;714.00;537.00;254.00
3.00;559.00;577.00;-223.00
1.00;661.00;469.00;-19.00
1.00;466.00;575.00;216.00
5.00;665.00;694.00;-43.00
1.00;657.00;586.00;235.00
2.00;713.00;483.00;220.00
5.00;625.00;422.00;113.00
3.00;439.00;550.00;-22.00
5.00;575.00;396.00;263.00
1.00;436.00;533.00;148.00
1.00;397.00;491.00;255.00
5.00;647.00;682.00;44.00
2.00;728.00;502.00;129.00
4.00;631.00;526.00;-81.00
3.00;437.00;697.00;-247.00
3.00;664.00;462.00;-164.00
3.00;694.00;654.00;74.00
5.00;406.00;523.00;-182.00
5.00;629.00;674.00;97.00
2.00;493.00;463.00;14.00
3.00;752.00;520.00;258.00
2.00;689.00;640.00;7.00
2.00;487.00;466.00;214.00
5.00;509.00;539.00;28.00
5.00;701.00;558.00;-198.00
1.00;600.00;709.00;-234.00
5.00;780.00;504.00;180.00
4.00;551.00;705.00;53.00
1.00;696.00;431.00;-222.00
5.00;791.00;546.00;-75.00
3.00;705.00;646.00;-146.00
3.00;586.00;641.00;-104.00
1.00;433.00;736.00;72.00
3.00;762.00;626.00;-153.00
3.00;503.00;721.00;-214.00
3.00;659.00;595.00;-197.00
1.00;777.00;596.00;-179.00
3.00;820.00;581.00;-68.00
1.00;808.00;668.00;259.00
3.00;601.00;623.00;-25.00
4.00;574.00;610.00;192.00
3.00;432.00;555.00;-217.00
2.00;678.00;507.00;144.00
3.00;574.00;739.00;260.00
5.00;560.00;660.00;-79.00
4.00;481.00;719.00;211.00
3.00;437.00;669.00;225.00
1.00;681.00;716.00;-170.00
3.00;801.00;698.00;179.00
5.00;781.00;686.00;12.00
1.00;443.00;463.00;170.00
2.00;718.00;750.00;-235.00
4.00;675.00;727.00;179.00
3.00;500.00;477.00;-244.00
4.00;558.00;735.00;-114.00
2.00;462.00;536.00;185.00
5.00;607.00;747.00;-19.00
3.00;478.00;660.00;260.00
2.00;766.00;632.00;212.00
1.00;586.00;600.00;-163.00
1.00;712.00;685.00;166.00
4.00;825.00;638.00;-156.00
1.00;639.00;640.00;-219.00
4.00;803.00;493.00;-142.00
1.00;815.00;482.00;138.00
3.00;472.00;528.00;142.00
2.00;547.00;744.00;-60.00
5.00;799.00;620.00;74.00
2.00;489.00;557.00;127.00
1.00;569.00;742.00;-137.00
3.00;762.00;718.00;143.00
2.00;473.00;592.00;157.00
4.00;795.00;550.00;198.00
4.00;692.00;618.00;-201.00
3.00;655.00;717.00;-53.00
1.00;774.00;517.00;-186.00
2.00;790.00;463.00;187.00
3.00;488.00;652.00;12.00
2.00;780.00;621.00;234.00
3.00;858.00;600.00;88.00
5.00;742.00;509.00;203.00
4.00;488.00;552.00;47.00
4.00;684.00;585.00;-245.00
1.00;663.00;668.00;34.00
1.00;500.00;517.00;134.00
5.00;596.00;718.00;233.00
2.00;662.00;493.00;-221.00
2.00;648.00;780.00;135.00
2.00;716.00;552.00;19.00
3.00;496.00;711.00;-90.00
5.00;720.00;546.00;38.00
2.00;798.00;727.00;-108.00
2.00;501.00;612.00;198.00
5.00;729.00;626.00;-19.00
3.00;501.00;643.00;59.00
2.00;538.00;660.00;169.00
3.00;749.00;710.00;-230.00
1.00;834.00;486.00;-59.00
2.00;518.00;633.00;-57.00
1.00;829.00;544.00;-5.00
4.00;716.00;642.00;-129.00
2.00;572.00;494.00;200.00
4.00;775.00;795.00;15.00
2.00;646.00;625.00;72.00
3.00;787.00;725.00;193.00
3.00;814.00;598.00;24.00
1.00;611.00;721.00;-212.00
4.00;493.00;636.00;95.00
2.00;600.00;599.00;94.00
3.00;865.00;502.00;16.00
4.00;707.00;807.00;28.00
5.00;611.00;615.00;-135.00
5.00;520.00;615.00;-64.00
3.00;855.00;699.00;138.00
4.00;620.00;687.00;-179.00
5.00;646.00;641.00;-62.00
3.00;803.00;601.00;102.00
2.00;704.00;675.00;-216.00
3.00;835.00;526.00;267.00
2.00;780.00;647.00;180.00
3.00;771.00;605.00;175.00
1.00;509.00;647.00;-195.00
4.00;534.00;553.00;125.00
1.00;889.00;521.00;72.00
1.00;762.00;801.00;-5.00
2.00;849.00;603.00;-207.00
3.00;829.00;796.00;-12.00
2.00;604.00;555.00;-66.00
3.00;793.00;775.00;70.00
2.00;793.00;524.00;19.00
2.00;523.00;614.00;-99.00
3.00;725.00;683.00;-44.00
5.00;792.00;713.00;101.00
5.00;591.00;797.00;226.00
3.00;645.00;541.00;225.00
2.00;605.00;679.00;76.00
1.00;805.00;629.00;-182.00
5.00;824.00;545.00;-235.00
4.00;919.00;596.00;31.00
2.00;730.00;538.00;-28.00
4.00;599.00;649.00;126.00
1.00;730.00;647.00;102.00
5.00;728.00;654.00;216.00
1.00;766.00;556.00;137.00
4.00;692.00;734.00;210.00
5.00;593.00;678.00;52.00
4.00;727.00;540.00;14.00
3.00;598.00;788.00;-231.00
1.00;871.00;826.00;-166.00
5.00;830.00;761.00;164.00
5.00;923.00;618.00;-94.00
3.00;714.00;842.00;55.00
4.00;716.00;553.00;240.00
4.00;615.00;691.00;59.00
3.00;701.00;546.00;196.00
5.00;843.00;552.00;4.00
3.00;686.00;623.00;83.00
4.00;910.00;626.00;-25.00
1.00;882.00;607.00;206.00
5.00;624.00;654.00;32.00
2.00;894.00;694.00;170.00
4.00;901.00;860.00;182.00
4.00;581.00;578.00;115.00
5.00;563.00;632.00;146.00
1.00;656.00;655.00;-234.00
2.00;711.00;788.00;212.00
5.00;806.00;615.00;144.00
2.00;830.00;618.00;17.00
2.00;733.00;562.00;166.00
5.00;856.00;612.00;-92.00
5.00;610.00;649.00;-134.00
4.00;701.00;612.00;-27.00
2.00;776.00;741.00;-23.00
4.00;578.00;795.00;270.00
4.00;591.00;639.00;-45.00
4.00;870.00;696.00;-59.00
1.00;718.00;847.00;7.00
1.00;907.00;591.00;-61.00
3.00;565.00;657.00;201.00
1.00;760.00;802.00;209.00
5.00;776.00;634.00;-83.00
3.00;745.00;573.00;-99.00
3.00;830.00;836.00;123.00
2.00;597.00;796.00;266.00
5.00;762.00;707.00;139.00
2.00;835.00;709.00;108.00
2.00;688.00;656.00;-86.00
2.00;591.00;833.00;125.00
1.00;647.00;714.00;-245.00
4.00;850.00;824.00;-151.00
1.00;863.00;720.00;-7.00
3.00;970.00;844.00;50.00
4.00;964.00;666.00;-192.00
2.00;818.00;596.00;161.00
1.00;639.00;608.00;167.00
1.00;748.00;670.00;92.00
2.00;946.00;758.00;-30.00
3.00;745.00;627.00;-67.00
4.00;677.00;752.00;50.00
4.00;809.00;719.00;267.00
1.00;600.00;685.00;-19.00
4.00;828.00;734.00;-218.00
2.00;930.00;772.00;-73.00
4.00;745.00;805.00;0.00
2.00;631.00;591.00;237.00
1.00;779.00;682.00;256.00
3.00;868.00;718.00;107.00
3.00;801.00;737.00;220.00
1.00;657.00;871.00;-125.00
4.00;607.00;840.00;82.00
2.00;692.00;617.00;139.00
2.00;802.00;820.00;50.00
3.00;603.00;607.00;-238.00
4.00;941.00;868.00;149.00
1.00;712.00;631.00;-68.00
3.00;651.00;627.00;126.00
1.00;633.00;913.00;-232.00
5.00;866.00;725.00;-201.00
3.00;908.00;829.00;149.00
4.00;755.00;768.00;-153.00
1.00;759.00;898.00;230.00
5.00;861.00;888.00;133.00
4.00;641.00;617.00;-159.00
5.00;949.00;829.00;-219.00
4.00;826.00;726.00;-12.00
4.00;674.00;808.00;265.00
4.00;949.00;766.00;156.00
3.00;678.00;890.00;75.00
2.00;739.00;853.00;96.00
2.00;939.00;717.00;-56.00
1.00;869.00;878.00;187.00
2.00;898.00;775.00;171.00
1.00;998.00;635.00;-166.00
1.00;657.00;733.00;246.00
1.00;974.00;919.00;-2.00
1.00;848.00;676.00;181.00
1.00;911.00;842.00;-7.00
1.00;928.00;865.00;-248.00
1.00;981.00;729.00;-200.00
1.00;856.00;804.00;-9.00
4.00;966.00;897.00;221.00
5.00;717.00;744.00;-31.00
4.00;1001.00;804.00;-166.00
3.00;921.00;642.00;-219.00
2.00;679.00;697.00;-62.00
1.00;956.00;935.00;40.00
5.00;989.00;851.00;142.00
1.00;875.00;846.00;-82.00
4.00;668.00;778.00;200.00
1.00;947.00;705.00;231.00
5.00;859.00;917.00;-135.00
1.00;819.00;896.00;-138.00
3.00;982.00;916.00;26.00
4.00;738.00;652.00;56.00
3.00;730.00;833.00;-68.00
1.00;937.00;925.00;84.00
3.00;662.00;714.00;-8.00
3.00;985.00;903.00;236.00
4.00;828.00;944.00;12.00
1.00;817.00;857.00;-197.00
5.00;999.00;671.00;106.00
3.00;782.00;718.00;-64.00
1.00;781.00;825.00;-173.00
3.00;671.00;688.00;52.00
1.00;822.00;803.00;-91.00
4.00;937.00;947.00;232.00
4.00;682.00;895.00;73.00
4.00;661.00;760.00;215.00
5.00;879.00;803.00;26.00
2.00;804.00;949.00;264.00
1.00;672.00;722.00;-117.00
5.00;788.00;866.00;-158.00
5.00;983.00;966.00;102.00
4.00;1038.00;673.00;31.00
5.00;701.00;902.00;269.00
3.00;764.00;858.00;-108.00
2.00;1003.00;961.00;94.00
2.00;729.00;666.00;269.00
3.00;926.00;911.00;273.00
4.00;962.00;672.00;-27.00
5.00;1035.00;899.00;-83.00
1.00;1021.00;744.00;-152.00
2.00;1026.00;976.00;85.00
1.00;1059.00;972.00;-32.00
3.00;1002.00;758.00;192.00
2.00;1056.00;699.00;88.00
5.00;672.00;905.00;-55.00
5.00;1014.00;975.00;-1.00
4.00;929.00;701.00;205.00
5.00;951.00;800.00;65.00
3.00;684.00;849.00;110.00
4.00;872.00;945.00;-128.00
5.00;939.00;705.00;-105.00
4.00;851.00;712.00;-106.00
3.00;692.00;884.00;50.00
1.00;941.00;948.00;-165.00
4.00;913.00;692.00;-114.00
3.00;1035.00;861.00;126.00
5.00;925.00;791.00;207.00
2.00;949.00;753.00;-106.00
1.00;1035.00;841.00;88.00
5.00;849.00;993.00;269.00
3.00;1039.00;1007.00;-235.00
2.00;961.00;885.00;248.00
2.00;802.00;841.00;-107.00
4.00;797.00;835.00;166.00
2.00;810.00;955.00;-24.00
5.00;871.00;815.00;92.00
3.00;973.00;840.00;-58.00
3.00;993.00;854.00;-153.00
